disease,symptoms,tests,specialist to Consult,urgency 
Severe Endometriosis (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Ectopic pregnancy (with secondary infection),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Fulminant Cervical dysplasia (with metastasis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Chronic Ectopic pregnancy (with secondary infection),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Menorrhagia (with obstruction),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Acute Cervical dysplasia (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Chronic Pelvic inflammatory disease (with metastasis),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Pelvic inflammatory disease (with hemorrhage),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Drug-induced Endometriosis,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Post-infectious Ectopic pregnancy (with hemorrhage),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
